"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"53d3d368e4b0f70dee8dc2e7","11ac0686-ce4b-405c-9166-4cd949436e7a","SERVICE","photography-services-near-me","camera-sensor-clean","Professional Digital DSLR Camera Sensor Clean | Coventry","<h4 style=""white-space:pre-wrap;"">Get a camera sensor clean in Coventry . Sensor checked and cleaned using professional equipment, swabs | Full Frame and Cropped Sensors | 24hr Turnaround</h4>","SQ5650040","","","","","","","","","","","","","30.00","25.00","No","Unlimited","photography-services","sensor clean","","","","","Yes","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1522495201980-KD6BKH54J01HJR93XXR6/photography-support-Services-1.png https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1706983612066-FCM4V2DFPEUGVDMQNA7I/Camera+Sensor+Clean.jpg"
"5b559d826d2a73038b8dcea8","7244f015-3932-44ed-bdf6-3b02423732b3","SERVICE","photography-services-near-me","beginners-photography-classes-coventry","Beginners Photography Classes - Coventry - Get Off Auto","<h4 style=""white-space:pre-wrap;"">The 2-hour Get Off Auto beginners photography classes in Coventry are for those wishing to absorb new skills and learn how and why to get off Auto Exposure on their camera.</h4><h3 style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)""><strong>Summary - Get Off Auto</strong></span></h3><ul data-rte-list=""default""><li><h4 style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)"">Dates: 2024/2025 - 19:00 - 21:00</span></h4><ul data-rte-list=""default""><li><p class="""" style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)"">Tue May 7th</span></p></li><li><p class="""" style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)"">Mon June 10th</span></p></li></ul></li><li><h4 style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)""><strong>Location:</strong> 45 Hathaway Road, Tile Hill Village, Coventry, CV4 9HW</span></h4></li><li><h4 style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)""><strong>Participants:</strong> Max 4</span></h4></li><li><h4 style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)""><strong>Beginners Photography Classes Event Details</strong>: </span><a href=""/get-off-auto-beginner-photography-classes""><span style=""color: rgba(0, 0, 0, 0.76)"">Get Off Auto</span></a></h4></li><li><h4 style=""white-space:pre-wrap;"">Experience - Level:  Beginner and Novice</h4><ul data-rte-list=""default""><li><p class="""" style=""white-space:pre-wrap;"">This get off auto photography class is aimed at anyone with a digital camera wishing to get off auto exposure mode and learn about photography exposure.</p></li></ul></li><li><h4 style=""white-space:pre-wrap;"">Equipment Needed:</h4><ul data-rte-list=""default""><li><p class="""" style=""white-space:pre-wrap;"">This class is a theory, lecture style so a camera is not required</p></li></ul></li><li><h4 style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)""><strong>Description:  </strong>Simplifying camera exposure modes:</span></h4><ul data-rte-list=""default""><li><p class="""" style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)"">Get off Auto Beginner Photography Classes Content</span></p><ul data-rte-list=""default""><li><p class="""" style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)"">The photographic Workflow</span></p></li><li><p class="""" style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)"">See | Design | Shoot | Enhance |Share</span></p></li><li><p class="""" style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)"">Camera Exposure Settings</span></p></li><li><p class="""" style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)"">Understanding scene modes, aperture priority, shutter priority or manual exposure and metering</span></p></li><li><p class="""" style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)"">Aperture, ISO, Shutter breakdown</span></p></li><li><p class="""" style=""white-space:pre-wrap;""><span style=""color: rgba(0, 0, 0, 0.76)"">Holding the camera properly and understanding the exposure triangle</span></p></li></ul></li></ul></li></ul><p class="""" style=""white-space:pre-wrap;"">By switching to the manual modes, you gain full control over the exposure settings, allowing you to unleash your creativity and capture the perfect shot in any lighting situation.</p>","SQ4907209","Date","Tue 7 may Coventry","","","","","","","","","","","30.00","0.00","No","4","get-off-auto, photography-classes, photography-courses","coventry, kenilworth","","","","","No","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1629114920224-P61RYFJEFOEEQTD3KP0Y/beginners-photography-class-get-off-auto.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1641220230999-WK55T6KJYFAUHNRWJ500/Get-Off-Auto-beginners-photography-class.jpg"
"","4dbb7cff-7e45-404f-b33b-da49f5d557f0","","","","","","SQ8319054","Date","Mon 10 Jun Coventry","","","","","","","","","","","30.00","0.00","No","4","","","","","","","",""
"","d3a616ad-08ba-42e7-bb9d-099ec7d7f175","","","","","","SQ7575064","Date","Re-booking fee for missed class","","","","","","","","","","","15.00","0.00","No","Unlimited","","","","","","","",""
"5ba115d388251bcae140b69c","8adf3ce4-5d46-4142-aee3-5bce43fab6f7","SERVICE","photography-services-near-me","four-private-photography-classes","4 x 2hr Private Photography Classes - Face to Face Coventry","<h4 style=""white-space:pre-wrap;"">Package Option - 4 Private Photography Classes Face to Face Coventry - 2 hrs each to suit you - Available 9-5 on weekdays. You will be sent a code to book dates</h4>","SQ6583676","Hrs","4 x 2hr sessions - weekday daytime","","","","","","","","","","","480.00","360.00","Yes","Unlimited","1-2-1-private-lessons, photography-classes, photography-tuition, photography-courses","coventry","","","","","Yes","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1522495550918-139R34YFWLG3Q89CXENT/PRIVATE-PHOTOGRAPHY-LESSONS.png https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1593775450613-RMK5RLZ01NBWI4OL7QOB/4x2hr-private-photography-lessons.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1721729469742-1JDP13SR431S55BI0C59/Private+Photography+Classes.jpg"
"5bf2b2b2aa4a996c65c36a71","145fc263-0cfd-4b84-aa7b-acd3def8bd31","SERVICE","photography-services-near-me","monthly-pick-n-mix-subscription","Monthly Pick N Mix Subscription | Interest Free Payment Plan","<h4>Monthly Pick N Mix Subscription Package. 10% Discount on events/services for one year | Interest Free Payment Plan | Take events or lessons immediately |</h4>","SQ3248242","Plan Amount over 12 Months","12 x £42 = £500","","","","","","","","","","","42.00","0.00","No","Unlimited","photography-classes, photography-courses, photography-workshops","picknmix","","","","","Yes","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/7c76925a-43b0-425c-995e-4f4e0190221c/Photography+Payment+Plan.png"
"","97841b2c-d364-4166-a0b1-d20a1aaf9815","","","","","","SQ3113323","Plan Amount over 12 Months","12 x £50 = £600","","","","","","","","","","","50.00","0.00","No","Unlimited","","","","","","","",""
"","d59947b2-484a-4083-b9b0-56dea64a514b","","","","","","SQ4824271","Plan Amount over 12 Months","12 x £60 = £720","","","","","","","","","","","60.00","0.00","No","Unlimited","","","","","","","",""
"","fbbdbe9e-7c82-4ccc-a9d9-11f749e7d4b6","","","","","","SQ5162846","Plan Amount over 12 Months","12 x £65 = £780","","","","","","","","","","","65.00","0.00","No","Unlimited","","","","","","","",""
"","ba1a33ed-920b-4aec-9fbe-e89f7a6975f6","","","","","","SQ0960457","Plan Amount over 12 Months","12 x £75 = £900","","","","","","","","","","","75.00","0.00","No","Unlimited","","","","","","","",""
